,Row,Description
0,SK_ID_CURR,ID of loan in our sample
1,TARGET,"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)"
2,NAME_CONTRACT_TYPE,Identification if loan is cash or revolving
3,CODE_GENDER,Gender of the client
4,FLAG_OWN_CAR,Flag if the client owns a car
5,FLAG_OWN_REALTY,Flag if client owns a house or flat
6,CNT_CHILDREN,Number of children the client has
7,AMT_INCOME_TOTAL,Income of the client
8,AMT_CREDIT,Credit amount of the loan
9,AMT_ANNUITY,Loan annuity
10,AMT_GOODS_PRICE,For consumer loans it is the price of the goods for which the loan is given
11,NAME_TYPE_SUITE,Who was accompanying client when he was applying for the loan
12,NAME_INCOME_TYPE,"Clients income type (businessman, working, maternity leave,)"
13,NAME_EDUCATION_TYPE,Level of highest education the client achieved
14,NAME_FAMILY_STATUS,Family status of the client
15,NAME_HOUSING_TYPE,"What is the housing situation of the client (renting, living with parents, ...)"
16,REGION_POPULATION_RELATIVE,Normalized population of region where client lives (higher number means the client lives in more populated region)
17,DAYS_BIRTH,Client's age in days at the time of application
18,DAYS_EMPLOYED,How many days before the application the person started current employment
19,DAYS_REGISTRATION,How many days before the application did client change his registration
20,DAYS_ID_PUBLISH,How many days before the application did client change the identity document with which he applied for the loan
21,OWN_CAR_AGE,Age of client's car
22,FLAG_MOBIL,"Did client provide mobile phone (1=YES, 0=NO)"
23,FLAG_EMP_PHONE,"Did client provide work phone (1=YES, 0=NO)"
24,FLAG_WORK_PHONE,"Did client provide home phone (1=YES, 0=NO)"
25,FLAG_CONT_MOBILE,"Was mobile phone reachable (1=YES, 0=NO)"
26,FLAG_PHONE,"Did client provide home phone (1=YES, 0=NO)"
27,FLAG_EMAIL,"Did client provide email (1=YES, 0=NO)"
28,OCCUPATION_TYPE,What kind of occupation does the client have
29,CNT_FAM_MEMBERS,How many family members does client have
30,REGION_RATING_CLIENT,"Our rating of the region where client lives (1,2,3)"
31,REGION_RATING_CLIENT_W_CITY,"Our rating of the region where client lives with taking city into account (1,2,3)"
32,WEEKDAY_APPR_PROCESS_START,On which day of the week did the client apply for the loan
33,HOUR_APPR_PROCESS_START,Approximately at what hour did the client apply for the loan
34,REG_REGION_NOT_LIVE_REGION,"Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)"
35,REG_REGION_NOT_WORK_REGION,"Flag if client's permanent address does not match work address (1=different, 0=same, at region level)"
36,LIVE_REGION_NOT_WORK_REGION,"Flag if client's contact address does not match work address (1=different, 0=same, at region level)"
37,REG_CITY_NOT_LIVE_CITY,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)"
38,REG_CITY_NOT_WORK_CITY,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)"
39,LIVE_CITY_NOT_WORK_CITY,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)"
40,ORGANIZATION_TYPE,Type of organization where client works
41,EXT_SOURCE_1,Normalized score from external data source
42,EXT_SOURCE_2,Normalized score from external data source
43,EXT_SOURCE_3,Normalized score from external data source
44,APARTMENTS_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
